text,label,language
wearing a fake engagement ring so guys won’t approach you at the library &gt;&gt;&gt;&gt;,1.8,English
Bees vs. Wasps. http,1.0,English
Here is a nice equation: 0+0-0-0+0=0,1.0,English
@user @user Enjoy each new day!😊🇨🇦🐞🐭,1.6,English
I can be having a perfectly good day then I think about Star Wars episode 9 and it’s instantly ruined,1.6,English
@user If only we could have seen Thurman vs Jeff Horn.,1.25,English
made really ballerific salted caramel brownies and this was the best process shot I’ve ever taken http,1.2,English
@user Every clipper season is easily better then rose and 2017 too,1.4,English
“If you trust them they will always be here for us too” 💕💕💕 http,3.0,English
@user E no sure for any body,1.0,English
"@user lmao, u saying that she should kill herself is cool tho right?",1.6,English
Kash doll and ray snapped on Giovannis way,1.3333333333333333,English
@user was that YOU dancing in ur recent story???!!! 😯,4.0,English
Dm to buy full vids of local coloured mense fucking😍 http,4.4,English
@user And then you change into your NSFW account and like them http,2.6,English
"But I, I can feel it take a hold I vote #WatermelonSugar as #BestMusicVideo at the #iHeartAwards",1.0,English
Who should I draw on my live to entertain the horny mfs I know are gonna show up,3.0,English
"how do people have so many liked songs on spotify, i only have 17 help",2.6,English
Try that again Timmy... Ill turn you into bonemeal http,1.4,English
@user @PattyArquette @SecPompeo That is simply not true! US combat deaths in Afghanistan highest in years. http,1.8,English
"mama ku panggil rp san ntu abang, so i have to call him uncle.",2.5,English
Leicester City fans - keep an eye on Ross Barkley. Could be moving to the Foxes on a permanent for £11m... #lcfc,1.25,English
What if i just got thick as shit😆 I can’t even picture myself like that,2.6,English
"""Small deeds done are better than great deeds planned."" Peter Marshall #QuoteOfTheDay http",1.2,English
#AccordingToRashidAbdi Bole airport is under the control of tplf and no more control of wfp flights to mekele!,1.0,English
@user Always my brother.. always be with u💚,2.5,English
@user @user @user I don't give out my personals online.,1.4,English
People in your social network may be able to rely on you today... More for Aquarius http,1.0,English
"@user Furthermore, harassment is ILLEGAL in any form!",1.75,English
Work work work,1.0,English
@user @user @user Look at this bro,1.25,English
@user It’s interesting to hear as we in Australia really have no idea what the situation is. Thanks for that.,1.5,English
@user @user Hello mate. Any chance you could share this please? 😁 http,1.2,English
for you i’d bleed myself dry.,4.0,English
Just 10 weekends y’all! Ohio State @ Minn UNC @ VT Penn St @ Wisc Alabama vs Miami Georgia vs Clemson LSU @ UCLA Notre Dame vs FSU,1.0,English
"@user @mehdirhasan in addition, how can you change a rule written by god. he didn't just change his mind",2.2,English
@user @user Holy crap! Suzi took that photo! That’s hilarious!,2.8,English
@user @user South African chutney?,1.25,English
@user @user Dragon angling darma,2.25,English
@user hmm 🙃,1.3333333333333333,English
Ousted Myanmar President says army tried to force him to resign hours before coup http http,1.2,English
@user @Gemini @charitywater @cameron @tyler Belkin_crack on Instagram helped me with same issues last week,1.6,English
this isn't a joke this is a fear I've developed in the last year or two,2.0,English
@user @user @user @SportsCenter celebrity privilege never surprises me.,1.5,English
@user that day is today,1.4,English
@user ‘85 Sugar Bowl,1.0,English
@user @user @user In Blues case a very Fluffy Fluffer ..lol,2.0,English
@user @user @GoldenKnights In the hood we just say scope but for sure I’ll start being politically correct 💯,1.75,English
no group of friends? it’s okay i still have one who’s true not fake.,1.75,English
Mission accomplished. http,1.0,English
"@user @DoorDash Damn Shame, you tipped a $1.30",2.25,English
Bunny with shades of the legendary Kelly Kelly with that headscissors #WrestleMania,1.0,English
@user Bet they are missing us ? Brexit done without them,1.2,English
@7NewsMelbourne Think you will find we won 22 Bronze not 4 @ChrisReason7,2.4,English
"Mariano Fortuny y Madrazo ( 11 May 1871 – 3 May 1949), was a Spanish http",1.25,English
@user Half of them are me tweeting Irene pics let's be honest 😭😭,2.2,English
"""That's my lil brother anw""",1.8,English
"@user @user @user Impliedly, that’s what you are saying.",1.0,English
It’s crazy how #RHOP really gets the people going,2.0,English
@user @user I never collect am !! Oo,1.0,English
@user @sagarikaghose @timesofindia You follow Chaatne wala media which are pro Anti-India,1.0,English
@user @user @user @SportsCenter @TrevonDiggs @NFL Bet yah ass was still in a diaper fuck outta here lmaooo,1.25,English
"advertise,buy and sell on .....The Broker Marketplace......for free......welcome",1.0,English
@user as much as i love you….. not this one,2.6,English
In less that a month I will know if I move to the other side of the world in August 😬,1.8,English
broken promise ...you was wrong fa that 🙇🏿‍♂️💯,2.0,English
"@DaytonaBchPD Condolences to the family, friends and our community. 💔",3.0,English
@user I vote for BTS 'Dynamite' by Son Sung Deuk for #FaveChoreography at #iHeartAwards @BTS_twt,1.4,English
"“Follow God’s example, therefore, as dearly loved children” Ephesians 5:1",1.6,English
@user 🤣🤣🤣🤣thank you TakaTina my baby kicked...kķkkķk was kinda worried the whole morning,3.25,English
